Tabla,dbo,NIC,HND,SLV,GTM,CRI,PER
LogCRM,LogCRM,LogCRM,LogCRM,LogCRM,LogCRM,LogCRM,LogCRM
LogSeleccionModoDescargaJob,LogSeleccionModoDescargaJob,LogSeleccionModoDescargaJob,LogSeleccionModoDescargaJob,LogSeleccionModoDescargaJob,LogSeleccionModoDescargaJob,LogSeleccionModoDescargaJob,LogSeleccionModoDescargaJob
ControlDiasEjecucionTotalLineaCredito,ControlDiasEjecucionTotalLineaCredito,NULL,NULL,NULL,NULL,NULL,NULL
ExportClients,ExportClients,NULL,NULL,NULL,NULL,NULL,NULL
IndicadoresEtlCRM_Temp_28122016,IndicadoresEtlCRM_Temp_28122016,NULL,NULL,NULL,NULL,NULL,NULL
LOG_CLIENTES_CONTADO_HCI,LOG_CLIENTES_CONTADO_HCI,NULL,LOG_CLIENTES_CONTADO_HCI,LOG_CLIENTES_CONTADO_HCI,LOG_CLIENTES_CONTADO_HCI,LOG_CLIENTES_CONTADO_HCI,LOG_CLIENTES_CONTADO_HCI
LOG_LineaCredito_HCI_Ejec22-12-2016,LOG_LineaCredito_HCI_Ejec22-12-2016,NULL,NULL,NULL,NULL,NULL,NULL
PaisCRM,PaisCRM,NULL,NULL,NULL,NULL,NULL,NULL
t_LineaCredito,t_LineaCredito,NULL,NULL,NULL,NULL,NULL,NULL
TraductorCategorias,TraductorCategorias,NULL,NULL,NULL,NULL,NULL,NULL
Pagos_CamposGenesys,Pagos_CamposGenesys,Pagos_CamposGenesys,Pagos_CamposGenesys,Pagos_CamposGenesys,Pagos_CamposGenesys,Pagos_CamposGenesys,Pagos_CamposGenesys
Pagos_CamposSAPV,Pagos_CamposSAPV,Pagos_CamposSAPV,Pagos_CamposSAPV,Pagos_CamposSAPV,Pagos_CamposSAPV,Pagos_CamposSAPV,Pagos_CamposSAPV
WRK_ClientesHCI_Leads,WRK_ClientesHCI_Leads,WRK_ClientesHCI_Leads,WRK_ClientesHCI_Leads,WRK_ClientesHCI_Leads,WRK_ClientesHCI_Leads,WRK_ClientesHCI_Leads,WRK_ClientesHCI_Leads
WRK_ClientsToDB_GetExistingCustomers_HCI,WRK_ClientsToDB_GetExistingCustomers_HCI,WRK_ClientsToDB_GetExistingCustomers_HCI,WRK_ClientsToDB_GetExistingCustomers_HCI,WRK_ClientsToDB_GetExistingCustomers_HCI,WRK_ClientsToDB_GetExistingCustomers_HCI,WRK_ClientsToDB_GetExistingCustomers_HCI,WRK_ClientsToDB_GetExistingCustomers_HCI
WRK_ClientsToDB_GetNewCustomers_HCI,WRK_ClientsToDB_GetNewCustomers_HCI,WRK_ClientsToDB_GetNewCustomers_HCI,WRK_ClientsToDB_GetNewCustomers_HCI,WRK_ClientsToDB_GetNewCustomers_HCI,WRK_ClientsToDB_GetNewCustomers_HCI,WRK_ClientsToDB_GetNewCustomers_HCI,WRK_ClientsToDB_GetNewCustomers_HCI
WRK_Payments_HCI,WRK_Payments_HCI,WRK_Payments_HCI,WRK_Payments_HCI,WRK_Payments_HCI,WRK_Payments_HCI,WRK_Payments_HCI,WRK_Payments_HCI
WRK_Quotes_HCI,WRK_Quotes_HCI,WRK_Quotes_HCI,WRK_Quotes_HCI,WRK_Quotes_HCI,WRK_Quotes_HCI,WRK_Quotes_HCI,WRK_Quotes_HCI
WRKFacturasETL_HCI,WRKFacturasETL_HCI,WRKFacturasETL_HCI,WRKFacturasETL_HCI,WRKFacturasETL_HCI,WRKFacturasETL_HCI,WRKFacturasETL_HCI,WRKFacturasETL_HCI
